category,A,D,B,C,defect_B,defect_C,score,B_in_S,C_in_S,one_sided,both_small,x,y,N,p,q,r,s,v3_x,v3_yc,mcc_live,love_relation_ok,four_distance_ok,point_in_unit,height,distance_to_D0,distance_to_A0,notes
one_sided,33/56,80/39,-897/2296,-1840/1353,1,5216209,5216209,True,False,True,False,287/57,451/152,456,2296,1353,-1840,-897,-1,1,True,True,False,False,2296,1181/377,9/7,algebraic_but_failed:(1-x)^2+y^2
one_sided,80/39,33/56,-2296/897,-1353/1840,1,5216209,5216209,True,False,True,False,-299/152,-230/57,456,-897,-1840,1353,2296,0,-1,True,True,False,False,2296,22385/4872,55/312,algebraic_but_failed:(1-x)^2+y^2
one_sided,-481/600,132/85,-391/120,3036/481,1,9448657,9448657,True,False,True,False,-50/203,481/2436,2436,-600,481,3036,1955,0,-1,True,True,False,False,3036,26851/7395,803/300,algebraic_but_failed:(1-x)^2+y^2
one_sided,132/85,-481/600,-120/391,481/3036,1,9448657,9448657,True,False,True,False,1955/2436,253/203,2436,1955,3036,481,-600,-1,1,True,True,False,False,3036,104149/17400,219/680,algebraic_but_failed:(1-x)^2+y^2
one_sided,207/224,520/231,-33/544,-520/3519,1,12653761,12653761,True,False,True,False,476/411,1173/1096,3288,3808,3519,-520,-231,-1,0,True,True,False,False,3519,6549/2233,213/224,algebraic_but_failed:(1-x)^2+y^2
one_sided,520/231,207/224,-544/33,-3519/520,1,12653761,12653761,True,False,True,False,-77/1096,-65/411,3288,-231,-520,3519,3808,0,-1,True,True,False,False,3519,83015/19488,695/1848,algebraic_but_failed:(1-x)^2+y^2
one_sided,-368/465,105/88,-4312/465,5145/368,1,26606449,26606449,True,False,True,False,-31/312,46/585,4680,-465,368,5145,4312,-1,-2,True,True,False,False,5145,30553/7656,9919/3720,algebraic_but_failed:(1-x)^2+y^2
one_sided,105/88,-368/465,-465/4312,368/5145,1,26606449,26606449,True,False,True,False,539/585,343/312,4680,4312,5145,368,-465,-2,-1,True,True,False,False,5145,26859/4495,15/22,algebraic_but_failed:(1-x)^2+y^2
one_sided,-156/133,215/912,816/287,-3655/6396,1,54267841,54267841,True,False,True,False,5453/9108,-533/759,9108,5453,-6396,3655,15504,-2,-1,True,True,False,False,6396,43623/8816,3243/1064,algebraic_but_failed:(1-x)^2+y^2
one_sided,215/912,-156/133,287/816,-6396/3655,1,54267841,54267841,True,False,True,False,1292/759,3655/9108,9108,15504,3655,-6396,5453,-1,-2,True,True,False,False,6396,73555/11571,1495/912,algebraic_but_failed:(1-x)^2+y^2
one_sided,-481/600,12/5,-1081/840,12972/3367,1,179609473,179609473,True,False,True,False,-350/731,3367/8772,8772,-4200,3367,12972,5405,0,-1,True,True,False,False,12972,1211/435,803/300,algebraic_but_failed:(1-x)^2+y^2
one_sided,12/5,-481/600,-840/1081,3367/12972,1,179609473,179609473,True,False,True,False,5405/8772,1081/731,8772,5405,12972,3367,-4200,-1,3,True,True,False,False,12972,104149/17400,21/40,algebraic_but_failed:(1-x)^2+y^2
one_sided,399/40,280/351,-126009/2840,-14360/4047,1,222587809,222587809,True,False,True,False,-71/2442,-9443/32560,97680,-2840,-28329,100520,126009,-1,0,True,True,False,False,126009,44647/10179,81/10,algebraic_but_failed:(1-x)^2+y^2
one_sided,280/351,399/40,-2840/126009,-4047/14360,1,222587809,222587809,True,False,True,False,42003/32560,2513/2442,97680,126009,100520,-28329,-2840,2,-1,True,True,False,False,126009,16673/3480,3025/2808,algebraic_but_failed:(1-x)^2+y^2
one_sided,9/40,473/864,3348/1955,14663/3519,1,227386930,227386930,True,False,True,False,15640/30303,391/3367,30303,15640,3519,14663,26784,-2,0,True,True,False,True,14663,116171/25056,33/20,algebraic_but_failed:(1-x)^2+y^2
one_sided,473/864,9/40,1955/3348,3519/14663,1,227386930,227386930,True,False,True,False,2976/3367,14663/30303,30303,26784,14663,3519,15640,1,-2,True,True,False,True,14663,17257/3480,1147/864,algebraic_but_failed:(1-x)^2+y^2
one_sided,29/420,975/448,-368/465,-22425/899,1,503688826,503688826,True,False,True,False,-868/627,-899/9405,9405,-13020,-899,22425,10304,-1,-2,True,True,False,False,22425,117223/38976,1517/840,algebraic_but_failed:(1-x)^2+y^2
one_sided,975/448,29/420,-465/368,-899/22425,1,503688826,503688826,True,False,True,False,10304/9405,1495/627,9405,10304,22425,-899,-13020,-2,-1,True,True,False,False,22425,62299/12180,135/448,algebraic_but_failed:(1-x)^2+y^2
one_sided,-48/55,247/96,-9888/8305,25441/7248,1,699777985,699777985,True,False,True,False,-8305/17136,151/357,17136,-8305,7248,25441,9888,-2,-1,True,True,False,False,25441,2423/928,1209/440,algebraic_but_failed:(1-x)^2+y^2
one_sided,247/96,-48/55,-8305/9888,7248/25441,1,699777985,699777985,True,False,True,False,206/357,25441/17136,17136,9888,25441,7248,-8305,-1,-2,True,True,False,False,25441,28981/4785,67/96,algebraic_but_failed:(1-x)^2+y^2
one_sided,-775/168,28/45,14145/952,-26404/13175,1,870751841,870751841,True,False,True,False,102/1045,-2635/5852,29260,2856,-13175,26404,42435,1,0,False,True,False,False,26404,5953/1305,545/84,algebraic_but_failed:(1-x)^2+y^2
one_sided,28/45,-775/168,952/14145,-13175/26404,1,870751841,870751841,True,False,True,False,8487/5852,943/1045,29260,42435,26404,-13175,2856,2,0,False,True,False,False,26404,47731/4872,451/360,algebraic_but_failed:(1-x)^2+y^2
one_sided,-143/24,-120/209,34903/7896,20040/47047,1,2615021809,2615021809,True,False,True,False,-329/506,4277/1104,12144,-7896,47047,20040,-34903,0,-1,True,True,False,False,47047,104699/18183,47/6,algebraic_but_failed:(1-x)^2+y^2
one_sided,-120/209,-143/24,7896/34903,47047/20040,1,2615021809,2615021809,True,False,True,False,-3173/1104,835/506,12144,-34903,20040,47047,-7896,-1,1,True,True,False,False,47047,2585/232,4095/1672,algebraic_but_failed:(1-x)^2+y^2
